Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Team,TrackStatus,IsPersonalBest,LapTimeSeconds,GrandPrix,Year
VER,1,14.0,0 days 00:01:37.028000,0 days 00:00:30.938000,0 days 00:00:42.042000,0 days 00:00:24.048000,SOFT,17.0,False,Red Bull Racing,1,False,97.028,Bahrain,2024
VER,1,15.0,0 days 00:01:37.011000,0 days 00:00:30.887000,0 days 00:00:42.058000,0 days 00:00:24.066000,SOFT,18.0,False,Red Bull Racing,1,False,97.011,Bahrain,2024
VER,1,16.0,0 days 00:01:37.168000,0 days 00:00:31.048000,0 days 00:00:42.032000,0 days 00:00:24.088000,SOFT,19.0,False,Red Bull Racing,1,False,97.168,Bahrain,2024
VER,1,17.0,0 days 00:01:39.896000,0 days 00:00:31.006000,0 days 00:00:42.060000,0 days 00:00:26.830000,SOFT,20.0,False,Red Bull Racing,1,False,99.896,Bahrain,2024
VER,1,18.0,0 days 00:01:57.854000,0 days 00:00:52.815000,0 days 00:00:41.511000,0 days 00:00:23.528000,HARD,1.0,True,Red Bull Racing,1,False,117.854,Bahrain,2024
VER,1,19.0,0 days 00:01:35.283000,0 days 00:00:30.628000,0 days 00:00:41.162000,0 days 00:00:23.493000,HARD,2.0,True,Red Bull Racing,1,True,95.283,Bahrain,2024
VER,1,20.0,0 days 00:01:35.160000,0 days 00:00:30.585000,0 days 00:00:41.100000,0 days 00:00:23.475000,HARD,3.0,True,Red Bull Racing,1,True,95.16,Bahrain,2024
VER,1,21.0,0 days 00:01:35.316000,0 days 00:00:30.576000,0 days 00:00:41.240000,0 days 00:00:23.500000,HARD,4.0,True,Red Bull Racing,1,False,95.316,Bahrain,2024
VER,1,22.0,0 days 00:01:35.204000,0 days 00:00:30.560000,0 days 00:00:41.142000,0 days 00:00:23.502000,HARD,5.0,True,Red Bull Racing,1,False,95.204,Bahrain,2024
VER,1,23.0,0 days 00:01:35.216000,0 days 00:00:30.553000,0 days 00:00:41.145000,0 days 00:00:23.518000,HARD,6.0,True,Red Bull Racing,1,False,95.216,Bahrain,2024
VER,1,24.0,0 days 00:01:35.289000,0 days 00:00:30.548000,0 days 00:00:41.257000,0 days 00:00:23.484000,HARD,7.0,True,Red Bull Racing,1,False,95.289,Bahrain,2024
VER,1,25.0,0 days 00:01:35.342000,0 days 00:00:30.518000,0 days 00:00:41.282000,0 days 00:00:23.542000,HARD,8.0,True,Red Bull Racing,1,False,95.342,Bahrain,2024
VER,1,26.0,0 days 00:01:35.223000,0 days 00:00:30.522000,0 days 00:00:41.140000,0 days 00:00:23.561000,HARD,9.0,True,Red Bull Racing,1,False,95.223,Bahrain,2024
VER,1,27.0,0 days 00:01:35.581000,0 days 00:00:30.649000,0 days 00:00:41.338000,0 days 00:00:23.594000,HARD,10.0,True,Red Bull Racing,1,False,95.581,Bahrain,2024
VER,1,28.0,0 days 00:01:35.477000,0 days 00:00:30.588000,0 days 00:00:41.272000,0 days 00:00:23.617000,HARD,11.0,True,Red Bull Racing,1,False,95.477,Bahrain,2024
VER,1,29.0,0 days 00:01:35.793000,0 days 00:00:30.679000,0 days 00:00:41.485000,0 days 00:00:23.629000,HARD,12.0,True,Red Bull Racing,1,False,95.793,Bahrain,2024
VER,1,30.0,0 days 00:01:35.771000,0 days 00:00:30.657000,0 days 00:00:41.470000,0 days 00:00:23.644000,HARD,13.0,True,Red Bull Racing,1,False,95.771,Bahrain,2024
VER,1,31.0,0 days 00:01:35.679000,0 days 00:00:30.635000,0 days 00:00:41.435000,0 days 00:00:23.609000,HARD,14.0,True,Red Bull Racing,1,False,95.679,Bahrain,2024
VER,1,32.0,0 days 00:01:35.886000,0 days 00:00:30.669000,0 days 00:00:41.519000,0 days 00:00:23.698000,HARD,15.0,True,Red Bull Racing,1,False,95.886,Bahrain,2024
VER,1,33.0,0 days 00:01:35.863000,0 days 00:00:30.690000,0 days 00:00:41.459000,0 days 00:00:23.714000,HARD,16.0,True,Red Bull Racing,1,False,95.863,Bahrain,2024
VER,1,34.0,0 days 00:01:36.133000,0 days 00:00:30.685000,0 days 00:00:41.661000,0 days 00:00:23.787000,HARD,17.0,True,Red Bull Racing,1,False,96.133,Bahrain,2024
VER,1,35.0,0 days 00:01:36.018000,0 days 00:00:30.727000,0 days 00:00:41.557000,0 days 00:00:23.734000,HARD,18.0,True,Red Bull Racing,1,False,96.018,Bahrain,2024
VER,1,36.0,0 days 00:01:36.205000,0 days 00:00:30.794000,0 days 00:00:41.561000,0 days 00:00:23.850000,HARD,19.0,True,Red Bull Racing,1,False,96.205,Bahrain,2024
VER,1,37.0,0 days 00:01:39.234000,0 days 00:00:30.877000,0 days 00:00:41.634000,0 days 00:00:26.723000,HARD,20.0,True,Red Bull Racing,1,False,99.234,Bahrain,2024
VER,1,38.0,0 days 00:01:56.445000,0 days 00:00:51.526000,0 days 00:00:41.562000,0 days 00:00:23.357000,SOFT,1.0,True,Red Bull Racing,1,False,116.445,Bahrain,2024
VER,1,39.0,0 days 00:01:32.608000,0 days 00:00:29.741000,0 days 00:00:39.916000,0 days 00:00:22.951000,SOFT,2.0,True,Red Bull Racing,1,True,92.608,Bahrain,2024
VER,1,40.0,0 days 00:01:36.589000,0 days 00:00:31.014000,0 days 00:00:42.023000,0 days 00:00:23.552000,SOFT,3.0,True,Red Bull Racing,1,False,96.589,Bahrain,2024
VER,1,41.0,0 days 00:01:35.290000,0 days 00:00:30.697000,0 days 00:00:41.281000,0 days 00:00:23.312000,SOFT,4.0,True,Red Bull Racing,1,False,95.29,Bahrain,2024
VER,1,42.0,0 days 00:01:34.667000,0 days 00:00:30.477000,0 days 00:00:40.996000,0 days 00:00:23.194000,SOFT,5.0,True,Red Bull Racing,1,False,94.667,Bahrain,2024
VER,1,43.0,0 days 00:01:34.151000,0 days 00:00:30.132000,0 days 00:00:40.772000,0 days 00:00:23.247000,SOFT,6.0,True,Red Bull Racing,1,False,94.151,Bahrain,2024
VER,1,44.0,0 days 00:01:34.531000,0 days 00:00:30.348000,0 days 00:00:40.805000,0 days 00:00:23.378000,SOFT,7.0,True,Red Bull Racing,1,False,94.531,Bahrain,2024
VER,1,45.0,0 days 00:01:34.249000,0 days 00:00:30.180000,0 days 00:00:40.825000,0 days 00:00:23.244000,SOFT,8.0,True,Red Bull Racing,1,False,94.249,Bahrain,2024
VER,1,46.0,0 days 00:01:34.193000,0 days 00:00:30.301000,0 days 00:00:40.682000,0 days 00:00:23.210000,SOFT,9.0,True,Red Bull Racing,1,False,94.193,Bahrain,2024
VER,1,47.0,0 days 00:01:34.239000,0 days 00:00:30.267000,0 days 00:00:40.704000,0 days 00:00:23.268000,SOFT,10.0,True,Red Bull Racing,1,False,94.239,Bahrain,2024
VER,1,48.0,0 days 00:01:34.350000,0 days 00:00:30.245000,0 days 00:00:40.738000,0 days 00:00:23.367000,SOFT,11.0,True,Red Bull Racing,1,False,94.35,Bahrain,2024
VER,1,49.0,0 days 00:01:34.403000,0 days 00:00:30.246000,0 days 00:00:40.804000,0 days 00:00:23.353000,SOFT,12.0,True,Red Bull Racing,1,False,94.403,Bahrain,2024
VER,1,50.0,0 days 00:01:34.783000,0 days 00:00:30.229000,0 days 00:00:40.928000,0 days 00:00:23.626000,SOFT,13.0,True,Red Bull Racing,1,False,94.783,Bahrain,2024
VER,1,51.0,0 days 00:01:34.340000,0 days 00:00:30.003000,0 days 00:00:40.834000,0 days 00:00:23.503000,SOFT,14.0,True,Red Bull Racing,1,False,94.34,Bahrain,2024
VER,1,52.0,0 days 00:01:34.906000,0 days 00:00:30.333000,0 days 00:00:40.919000,0 days 00:00:23.654000,SOFT,15.0,True,Red Bull Racing,1,False,94.906,Bahrain,2024
VER,1,53.0,0 days 00:01:35.600000,0 days 00:00:30.528000,0 days 00:00:41.382000,0 days 00:00:23.690000,SOFT,16.0,True,Red Bull Racing,1,False,95.6,Bahrain,2024
VER,1,54.0,0 days 00:01:35.334000,0 days 00:00:30.427000,0 days 00:00:41.227000,0 days 00:00:23.680000,SOFT,17.0,True,Red Bull Racing,1,False,95.334,Bahrain,2024
VER,1,55.0,0 days 00:01:35.184000,0 days 00:00:30.493000,0 days 00:00:41.220000,0 days 00:00:23.471000,SOFT,18.0,True,Red Bull Racing,1,False,95.184,Bahrain,2024
VER,1,56.0,0 days 00:01:34.671000,0 days 00:00:30.256000,0 days 00:00:40.870000,0 days 00:00:23.545000,SOFT,19.0,True,Red Bull Racing,1,False,94.671,Bahrain,2024
VER,1,57.0,0 days 00:01:34.923000,0 days 00:00:30.384000,0 days 00:00:40.910000,0 days 00:00:23.629000,SOFT,20.0,True,Red Bull Racing,1,False,94.923,Bahrain,2024
PER,11,1.0,0 days 00:01:40.053000,,0 days 00:00:42.610000,0 days 00:00:23.856000,SOFT,4.0,False,Red Bull Racing,12,False,100.053,Bahrain,2024
PER,11,2.0,0 days 00:01:36.541000,0 days 00:00:30.678000,0 days 00:00:41.867000,0 days 00:00:23.996000,SOFT,5.0,False,Red Bull Racing,1,True,96.541,Bahrain,2024
PER,11,3.0,0 days 00:01:37.297000,0 days 00:00:30.596000,0 days 00:00:42.478000,0 days 00:00:24.223000,SOFT,6.0,False,Red Bull Racing,1,False,97.297,Bahrain,2024
PER,11,4.0,0 days 00:01:37.722000,0 days 00:00:30.716000,0 days 00:00:42.623000,0 days 00:00:24.383000,SOFT,7.0,False,Red Bull Racing,1,False,97.722,Bahrain,2024
PER,11,5.0,0 days 00:01:38.044000,0 days 00:00:30.997000,0 days 00:00:42.754000,0 days 00:00:24.293000,SOFT,8.0,False,Red Bull Racing,1,False,98.044,Bahrain,2024
PER,11,6.0,0 days 00:01:37.823000,0 days 00:00:30.843000,0 days 00:00:42.702000,0 days 00:00:24.278000,SOFT,9.0,False,Red Bull Racing,1,False,97.823,Bahrain,2024
PER,11,7.0,0 days 00:01:37.821000,0 days 00:00:31.013000,0 days 00:00:42.682000,0 days 00:00:24.126000,SOFT,10.0,False,Red Bull Racing,1,False,97.821,Bahrain,2024
PER,11,8.0,0 days 00:01:37.838000,0 days 00:00:31.305000,0 days 00:00:42.428000,0 days 00:00:24.105000,SOFT,11.0,False,Red Bull Racing,1,False,97.838,Bahrain,2024
PER,11,9.0,0 days 00:01:37.596000,0 days 00:00:31.145000,0 days 00:00:42.395000,0 days 00:00:24.056000,SOFT,12.0,False,Red Bull Racing,1,False,97.596,Bahrain,2024
PER,11,10.0,0 days 00:01:37.630000,0 days 00:00:31.178000,0 days 00:00:42.322000,0 days 00:00:24.130000,SOFT,13.0,False,Red Bull Racing,12,False,97.63,Bahrain,2024
PER,11,11.0,0 days 00:01:37.836000,0 days 00:00:31.054000,0 days 00:00:42.473000,0 days 00:00:24.309000,SOFT,14.0,False,Red Bull Racing,1,False,97.836,Bahrain,2024
PER,11,12.0,0 days 00:01:40.277000,0 days 00:00:30.891000,0 days 00:00:42.506000,0 days 00:00:26.880000,SOFT,15.0,False,Red Bull Racing,1,False,100.277,Bahrain,2024
PER,11,13.0,0 days 00:01:57.624000,0 days 00:00:51.896000,0 days 00:00:41.803000,0 days 00:00:23.925000,HARD,1.0,True,Red Bull Racing,1,False,117.624,Bahrain,2024
PER,11,14.0,0 days 00:01:35.606000,0 days 00:00:30.063000,0 days 00:00:41.855000,0 days 00:00:23.688000,HARD,2.0,True,Red Bull Racing,1,True,95.606,Bahrain,2024
PER,11,15.0,0 days 00:01:36.815000,0 days 00:00:30.785000,0 days 00:00:41.795000,0 days 00:00:24.235000,HARD,3.0,True,Red Bull Racing,1,False,96.815,Bahrain,2024
PER,11,16.0,0 days 00:01:35.783000,0 days 00:00:30.569000,0 days 00:00:41.558000,0 days 00:00:23.656000,HARD,4.0,True,Red Bull Racing,1,False,95.783,Bahrain,2024
PER,11,17.0,0 days 00:01:36.454000,0 days 00:00:30.922000,0 days 00:00:41.823000,0 days 00:00:23.709000,HARD,5.0,True,Red Bull Racing,1,False,96.454,Bahrain,2024
PER,11,18.0,0 days 00:01:36.311000,0 days 00:00:30.803000,0 days 00:00:41.835000,0 days 00:00:23.673000,HARD,6.0,True,Red Bull Racing,1,False,96.311,Bahrain,2024
PER,11,19.0,0 days 00:01:36.038000,0 days 00:00:30.702000,0 days 00:00:41.633000,0 days 00:00:23.703000,HARD,7.0,True,Red Bull Racing,1,False,96.038,Bahrain,2024
PER,11,20.0,0 days 00:01:36.278000,0 days 00:00:30.918000,0 days 00:00:41.686000,0 days 00:00:23.674000,HARD,8.0,True,Red Bull Racing,1,False,96.278,Bahrain,2024
PER,11,21.0,0 days 00:01:36.165000,0 days 00:00:30.849000,0 days 00:00:41.610000,0 days 00:00:23.706000,HARD,9.0,True,Red Bull Racing,1,False,96.165,Bahrain,2024
PER,11,22.0,0 days 00:01:36.037000,0 days 00:00:30.824000,0 days 00:00:41.536000,0 days 00:00:23.677000,HARD,10.0,True,Red Bull Racing,1,False,96.037,Bahrain,2024
PER,11,23.0,0 days 00:01:36.249000,0 days 00:00:30.840000,0 days 00:00:41.729000,0 days 00:00:23.680000,HARD,11.0,True,Red Bull Racing,1,False,96.249,Bahrain,2024
PER,11,24.0,0 days 00:01:36.211000,0 days 00:00:30.792000,0 days 00:00:41.687000,0 days 00:00:23.732000,HARD,12.0,True,Red Bull Racing,1,False,96.211,Bahrain,2024
PER,11,25.0,0 days 00:01:36.344000,0 days 00:00:30.878000,0 days 00:00:41.719000,0 days 00:00:23.747000,HARD,13.0,True,Red Bull Racing,1,False,96.344,Bahrain,2024
PER,11,26.0,0 days 00:01:36.347000,0 days 00:00:30.938000,0 days 00:00:41.666000,0 days 00:00:23.743000,HARD,14.0,True,Red Bull Racing,1,False,96.347,Bahrain,2024
PER,11,27.0,0 days 00:01:36.233000,0 days 00:00:30.853000,0 days 00:00:41.543000,0 days 00:00:23.837000,HARD,15.0,True,Red Bull Racing,1,False,96.233,Bahrain,2024
PER,11,28.0,0 days 00:01:36.226000,0 days 00:00:30.929000,0 days 00:00:41.588000,0 days 00:00:23.709000,HARD,16.0,True,Red Bull Racing,1,False,96.226,Bahrain,2024
PER,11,29.0,0 days 00:01:36.437000,0 days 00:00:30.926000,0 days 00:00:41.749000,0 days 00:00:23.762000,HARD,17.0,True,Red Bull Racing,1,False,96.437,Bahrain,2024
PER,11,30.0,0 days 00:01:36.313000,0 days 00:00:30.916000,0 days 00:00:41.643000,0 days 00:00:23.754000,HARD,18.0,True,Red Bull Racing,1,False,96.313,Bahrain,2024
PER,11,31.0,0 days 00:01:36.339000,0 days 00:00:30.843000,0 days 00:00:41.752000,0 days 00:00:23.744000,HARD,19.0,True,Red Bull Racing,1,False,96.339,Bahrain,2024
PER,11,32.0,0 days 00:01:36.276000,0 days 00:00:30.856000,0 days 00:00:41.671000,0 days 00:00:23.749000,HARD,20.0,True,Red Bull Racing,1,False,96.276,Bahrain,2024
PER,11,33.0,0 days 00:01:36.564000,0 days 00:00:30.907000,0 days 00:00:41.752000,0 days 00:00:23.905000,HARD,21.0,True,Red Bull Racing,1,False,96.564,Bahrain,2024
PER,11,34.0,0 days 00:01:36.378000,0 days 00:00:30.840000,0 days 00:00:41.734000,0 days 00:00:23.804000,HARD,22.0,True,Red Bull Racing,1,False,96.378,Bahrain,2024
PER,11,35.0,0 days 00:01:36.776000,0 days 00:00:30.938000,0 days 00:00:41.910000,0 days 00:00:23.928000,HARD,23.0,True,Red Bull Racing,1,False,96.776,Bahrain,2024
PER,11,36.0,0 days 00:01:39.365000,0 days 00:00:31.014000,0 days 00:00:41.781000,0 days 00:00:26.570000,HARD,24.0,True,Red Bull Racing,1,False,99.365,Bahrain,2024
PER,11,37.0,0 days 00:01:55.808000,0 days 00:00:51.096000,0 days 00:00:41.214000,0 days 00:00:23.498000,SOFT,1.0,True,Red Bull Racing,1,False,115.808,Bahrain,2024
PER,11,38.0,0 days 00:01:34.804000,0 days 00:00:30.581000,0 days 00:00:40.931000,0 days 00:00:23.292000,SOFT,2.0,True,Red Bull Racing,1,True,94.804,Bahrain,2024
PER,11,39.0,0 days 00:01:34.607000,0 days 00:00:30.563000,0 days 00:00:40.893000,0 days 00:00:23.151000,SOFT,3.0,True,Red Bull Racing,1,True,94.607,Bahrain,2024
PER,11,40.0,0 days 00:01:34.364000,0 days 00:00:30.400000,0 days 00:00:40.772000,0 days 00:00:23.192000,SOFT,4.0,True,Red Bull Racing,1,True,94.364,Bahrain,2024
PER,11,41.0,0 days 00:01:34.400000,0 days 00:00:30.351000,0 days 00:00:40.884000,0 days 00:00:23.165000,SOFT,5.0,True,Red Bull Racing,1,False,94.4,Bahrain,2024
PER,11,42.0,0 days 00:01:34.525000,0 days 00:00:30.299000,0 days 00:00:40.985000,0 days 00:00:23.241000,SOFT,6.0,True,Red Bull Racing,1,False,94.525,Bahrain,2024
PER,11,43.0,0 days 00:01:34.797000,0 days 00:00:30.403000,0 days 00:00:41.148000,0 days 00:00:23.246000,SOFT,7.0,True,Red Bull Racing,1,False,94.797,Bahrain,2024
PER,11,44.0,0 days 00:01:34.799000,0 days 00:00:30.389000,0 days 00:00:41.028000,0 days 00:00:23.382000,SOFT,8.0,True,Red Bull Racing,1,False,94.799,Bahrain,2024
PER,11,45.0,0 days 00:01:34.592000,0 days 00:00:30.338000,0 days 00:00:40.986000,0 days 00:00:23.268000,SOFT,9.0,True,Red Bull Racing,1,False,94.592,Bahrain,2024
PER,11,46.0,0 days 00:01:34.844000,0 days 00:00:30.410000,0 days 00:00:41.109000,0 days 00:00:23.325000,SOFT,10.0,True,Red Bull Racing,1,False,94.844,Bahrain,2024
PER,11,47.0,0 days 00:01:34.730000,0 days 00:00:30.281000,0 days 00:00:41.074000,0 days 00:00:23.375000,SOFT,11.0,True,Red Bull Racing,1,False,94.73,Bahrain,2024
PER,11,48.0,0 days 00:01:34.885000,0 days 00:00:30.358000,0 days 00:00:41.147000,0 days 00:00:23.380000,SOFT,12.0,True,Red Bull Racing,1,False,94.885,Bahrain,2024
PER,11,49.0,0 days 00:01:34.966000,0 days 00:00:30.400000,0 days 00:00:41.133000,0 days 00:00:23.433000,SOFT,13.0,True,Red Bull Racing,1,False,94.966,Bahrain,2024
PER,11,50.0,0 days 00:01:35.082000,0 days 00:00:30.366000,0 days 00:00:41.337000,0 days 00:00:23.379000,SOFT,14.0,True,Red Bull Racing,1,False,95.082,Bahrain,2024
PER,11,51.0,0 days 00:01:34.940000,0 days 00:00:30.360000,0 days 00:00:41.144000,0 days 00:00:23.436000,SOFT,15.0,True,Red Bull Racing,1,False,94.94,Bahrain,2024
PER,11,52.0,0 days 00:01:35.183000,0 days 00:00:30.577000,0 days 00:00:41.129000,0 days 00:00:23.477000,SOFT,16.0,True,Red Bull Racing,1,False,95.183,Bahrain,2024
PER,11,53.0,0 days 00:01:35.842000,0 days 00:00:30.638000,0 days 00:00:41.522000,0 days 00:00:23.682000,SOFT,17.0,True,Red Bull Racing,1,False,95.842,Bahrain,2024
PER,11,54.0,0 days 00:01:35.459000,0 days 00:00:30.578000,0 days 00:00:41.382000,0 days 00:00:23.499000,SOFT,18.0,True,Red Bull Racing,1,False,95.459,Bahrain,2024
PER,11,55.0,0 days 00:01:35.611000,0 days 00:00:30.683000,0 days 00:00:41.420000,0 days 00:00:23.508000,SOFT,19.0,True,Red Bull Racing,1,False,95.611,Bahrain,2024
PER,11,56.0,0 days 00:01:35.568000,0 days 00:00:30.539000,0 days 00:00:41.406000,0 days 00:00:23.623000,SOFT,20.0,True,Red Bull Racing,1,False,95.568,Bahrain,2024
PER,11,57.0,0 days 00:01:35.746000,0 days 00:00:30.521000,0 days 00:00:41.600000,0 days 00:00:23.625000,SOFT,21.0,True,Red Bull Racing,1,False,95.746,Bahrain,2024
SAI,55,1.0,0 days 00:01:40.620000,,0 days 00:00:42.861000,0 days 00:00:23.765000,SOFT,4.0,False,Ferrari,12,False,100.62,Bahrain,2024
SAI,55,2.0,0 days 00:01:37.236000,0 days 00:00:30.974000,0 days 00:00:42.366000,0 days 00:00:23.896000,SOFT,5.0,False,Ferrari,1,True,97.236,Bahrain,2024
SAI,55,3.0,0 days 00:01:37.080000,0 days 00:00:31.049000,0 days 00:00:42.179000,0 days 00:00:23.852000,SOFT,6.0,False,Ferrari,1,True,97.08,Bahrain,2024
SAI,55,4.0,0 days 00:01:37.264000,0 days 00:00:30.957000,0 days 00:00:42.373000,0 days 00:00:23.934000,SOFT,7.0,False,Ferrari,1,False,97.264,Bahrain,2024
SAI,55,5.0,0 days 00:01:38.032000,0 days 00:00:30.967000,0 days 00:00:42.821000,0 days 00:00:24.244000,SOFT,8.0,False,Ferrari,1,False,98.032,Bahrain,2024
SAI,55,6.0,0 days 00:01:37.741000,0 days 00:00:30.879000,0 days 00:00:42.803000,0 days 00:00:24.059000,SOFT,9.0,False,Ferrari,1,False,97.741,Bahrain,2024
SAI,55,7.0,0 days 00:01:38.260000,0 days 00:00:30.847000,0 days 00:00:43.148000,0 days 00:00:24.265000,SOFT,10.0,False,Ferrari,1,False,98.26,Bahrain,2024
SAI,55,8.0,0 days 00:01:38.183000,0 days 00:00:31.341000,0 days 00:00:42.701000,0 days 00:00:24.141000,SOFT,11.0,False,Ferrari,1,False,98.183,Bahrain,2024
SAI,55,9.0,0 days 00:01:38.030000,0 days 00:00:30.990000,0 days 00:00:42.868000,0 days 00:00:24.172000,SOFT,12.0,False,Ferrari,1,False,98.03,Bahrain,2024
SAI,55,10.0,0 days 00:01:37.608000,0 days 00:00:30.819000,0 days 00:00:42.638000,0 days 00:00:24.151000,SOFT,13.0,False,Ferrari,12,False,97.608,Bahrain,2024
SAI,55,11.0,0 days 00:01:37.656000,0 days 00:00:31.266000,0 days 00:00:42.386000,0 days 00:00:24.004000,SOFT,14.0,False,Ferrari,1,False,97.656,Bahrain,2024
SAI,55,12.0,0 days 00:01:37.650000,0 days 00:00:31.089000,0 days 00:00:42.460000,0 days 00:00:24.101000,SOFT,15.0,False,Ferrari,1,False,97.65,Bahrain,2024
SAI,55,13.0,0 days 00:01:37.243000,0 days 00:00:31.025000,0 days 00:00:42.212000,0 days 00:00:24.006000,SOFT,16.0,False,Ferrari,1,False,97.243,Bahrain,2024
SAI,55,14.0,0 days 00:01:39.753000,0 days 00:00:31.011000,0 days 00:00:42.119000,0 days 00:00:26.623000,SOFT,17.0,False,Ferrari,1,False,99.753,Bahrain,2024
SAI,55,15.0,0 days 00:01:57.225000,0 days 00:00:51.656000,0 days 00:00:42.013000,0 days 00:00:23.556000,HARD,1.0,True,Ferrari,1,False,117.225,Bahrain,2024
SAI,55,16.0,0 days 00:01:36.376000,0 days 00:00:30.412000,0 days 00:00:42.131000,0 days 00:00:23.833000,HARD,2.0,True,Ferrari,1,True,96.376,Bahrain,2024
SAI,55,17.0,0 days 00:01:35.507000,0 days 00:00:30.202000,0 days 00:00:41.758000,0 days 00:00:23.547000,HARD,3.0,True,Ferrari,1,True,95.507,Bahrain,2024
SAI,55,18.0,0 days 00:01:36.088000,0 days 00:00:30.590000,0 days 00:00:41.964000,0 days 00:00:23.534000,HARD,4.0,True,Ferrari,1,False,96.088,Bahrain,2024
SAI,55,19.0,0 days 00:01:36.236000,0 days 00:00:30.805000,0 days 00:00:41.897000,0 days 00:00:23.534000,HARD,5.0,True,Ferrari,1,False,96.236,Bahrain,2024
SAI,55,20.0,0 days 00:01:36.034000,0 days 00:00:30.786000,0 days 00:00:41.660000,0 days 00:00:23.588000,HARD,6.0,True,Ferrari,1,False,96.034,Bahrain,2024
SAI,55,21.0,0 days 00:01:36.104000,0 days 00:00:30.796000,0 days 00:00:41.752000,0 days 00:00:23.556000,HARD,7.0,True,Ferrari,1,False,96.104,Bahrain,2024
SAI,55,22.0,0 days 00:01:36.008000,0 days 00:00:30.686000,0 days 00:00:41.770000,0 days 00:00:23.552000,HARD,8.0,True,Ferrari,1,False,96.008,Bahrain,2024
SAI,55,23.0,0 days 00:01:36.149000,0 days 00:00:30.738000,0 days 00:00:41.797000,0 days 00:00:23.614000,HARD,9.0,True,Ferrari,1,False,96.149,Bahrain,2024
SAI,55,24.0,0 days 00:01:36.200000,0 days 00:00:30.698000,0 days 00:00:41.881000,0 days 00:00:23.621000,HARD,10.0,True,Ferrari,1,False,96.2,Bahrain,2024
SAI,55,25.0,0 days 00:01:36.220000,0 days 00:00:30.724000,0 days 00:00:41.907000,0 days 00:00:23.589000,HARD,11.0,True,Ferrari,1,False,96.22,Bahrain,2024
SAI,55,26.0,0 days 00:01:36.221000,0 days 00:00:30.714000,0 days 00:00:41.878000,0 days 00:00:23.629000,HARD,12.0,True,Ferrari,1,False,96.221,Bahrain,2024
SAI,55,27.0,0 days 00:01:36.272000,0 days 00:00:30.807000,0 days 00:00:41.836000,0 days 00:00:23.629000,HARD,13.0,True,Ferrari,1,False,96.272,Bahrain,2024
SAI,55,28.0,0 days 00:01:36.534000,0 days 00:00:30.901000,0 days 00:00:41.965000,0 days 00:00:23.668000,HARD,14.0,True,Ferrari,1,False,96.534,Bahrain,2024
